cafeno,name,r1,r2,r3,r4,r5,r6
36139,카페모서리,최고예요,나무나무한 느낌이 좋은 카페. 모나카는 품절이라 못 먹어 봤지만 음료 맛있습니다.,커피맛이 깔끔하고 좋아요. 저는 여기 라떼 단골임.,"원두 상태 매우 좋아서 핸드드립 정말 맛있습니다. 테이크아웃은 3,500₩ 밖에 안해요. ",,
36201,호이차 회기역점,가성비 최고 ㅠㅠ 흑당버블티가 진짜 맛있어요. 디저트류들도 다 맛있어서 자주 사먹는 곳 !! 양도 혜자입니다,달콤한게 생각날때 들러야할 곳. 지나는 길에 만난 호이차에서 흑당밀크티와 버블티로 리프레쉬.. 매일 생각날 듯. ,흑당버블티~ 당도 좋고 맛도 좋네요.,,,
36235,카페버뮤다,보통이에요,좋아요,,,,
36247,커피온리 경희대점,최고예요,,,,,
36249,팔공티 경희대점,최고예요,평일 오후? 마감?알바생 인것 같은데.. 여자 알바생들 노답임 진짜 ㄷㄷ 제일 기본 음료 3잔 주문했는데 받기까지 5분이상 걸림;; 문제는 밀려있는 주문도 없었음. 늦은 이유는... 지들 노가리깐다고......... 어이상실. 남자 직원분은 빠르게 잘 해주셨는데..... 시간대 보고 가야할듯요,,,,
36260,코너샵카페,싱글오리진 3가지 중 하나를 골라서 마실 수 있는 테이크아웃 전용 커피집. 맛있어요. ,라떼도 맛있어요,아아 너무 맛있음,보통이에요,코너샵 아이스아메리카노 고소하고 진해서 만날 테이크아웃해용 ♥ 큰사이즈 2500원 최고입니당!,
36261,드롭탑 경희의료원치과병원(휴점)점,좋음,좋아요,최고예요,,,
36304,헬로펠라스,카페가 깨끗하고 커피도 맛있고 노트북하기 편해요,,,,,
36346,너디블루,돈니드워드,아메리카노 진짜 넘 맛있어요....... ,사장님이 친절하셨어요 분위기가 편안하고 음악도 좋습니다 ,음료도 맛있고 디저트도 맛있었어요~~ 카페 분위기도 아늑하고 좋았어요,최고예요,
36356,릴리랄라,아늑하고 좋습니다. 커피 외의 것들도 맛나요...꺅,너무 좋아요!! 화장실도 깨끗.. 토욜엔 무한도전시청도 가능 @.@,여자친구가 완전 좋아하는곳!!경희대에서 데이트 강추합니당!,경희대 의료원 근처 골목에 있어서 잘 찾아가셔야되요~~깔끔하고 분위기도 좋아요 ㅎㅎ,,
36393,달달한커피콩,매번 갈때마다 친절하고 맛도 좋고  모자란게 없음,고데기가있어요 비가갑자기 내려 당황했는데 핵좋 전체적으로 가격대비 맛이 괜찮습ㄴ다 핸드드립을 먹을 때 원두 여러가지를 선택할 수 있어요 라떼 거품도 자글자글,맛있고 친절해요 아담하고 분위기 좋아요,커피콩 싸고 로스팅굿,카페 아담하니좋아요~커피도 맛있구~바나나갈은것 몽키두 맛있구 한끼로도 든든하겠더라고요~너무 맛있어요~ ,
36424,갓볶은커피 보그너커피,아직 안 망했냐ㅋㅋㅋ,다시는 가고싶지 않음,좋아요,사장님이 넘 친절함ㅋㅋㅋ글구 여기는 다른데보다 진하게 줘서 좋음,"면목동점 어이가 없네요. 4500원짜리 음료를 시키고 과제하려 하는데 공부하는거 안된다고 민폐인거 모르냐는겁니다. 2시간동안 수다떠는 것은 되고, 공부하는건 왜 안되는지 이해가 안되고 환불도 못받았습니다.",
36491,만화카페코난,저렴한요금제와 편안한 소파 커플들을 위한 동굴방까지 3만권이 넘는 각종 책들 ,,,,,
36501,스타벅스 상봉역점,좋아여,직원들 서비스는 좋은편임 조금 오래된 것 같아 아쉬움 11시까지 영업해주세요. 항상 상봉점까지 가야함 ㅠㅠ,별로예요,시설 굉장히 오래된거 같아요~ 맛도 그닥 ,친구랑 보늬밤 아이스 라떼 맛있게 먹었어요. 계산할때 스벅 카드에 있는 잔돈 다 쓰고 나머지 금액은 카드로 할려고 했는데 까먹고 못한게 아쉬움이 남네요.,
36503,미니특공대테마파크 면목역점,가격도 저렴하고 컨텐츠도 다양하고 넓고 좋네요,이런곳이 있다는걸 이제 알았네요. 자주와야겠어요 ㅋㅋㅋ엑티비티가 많네욬,,,,
36537,애시드브루,주택가 안쪽에 위치한 카페 치고는 넓은 편이다. 야외좌석이 있다. 단정한 인테리어. 대학 근처라 음료가격 저렴한 편이다,,,,,
36603,와플대학 회기역캠퍼스,주문 받자마자 와플 굽는다고 써있는데 아닌 것 같아요... 따뜻하고 바삭한 와플을 기다리고 있었는데 미지근한 와플이 나왔습니다ㅠㅠㅠㅠㅠ 자고로 아이스크림와플은 따뜻바삭한 와플에 찬 아이스크림 조합으로 먹는 건데....... 포장해서 먹은 것도 아니고 가게에서 먹었는데 실망했어요.....,최고예요,아니 영업이 10:20까지면  11시까지라고 왜써놓은거죠 10시33분쯤에갔는데 알반지 사장님인지 모르겠으나 본인들 가게 아예닫는게 11시이고 10시20분에 모든 영업이 다 끝난다네요 네이버도그렇고 카톡에도 11시까지라고 기재하지를 마셔야죠 기분아빠서 여기 안감,아주 좋습니다~,늘 자주가는곳입니다 항상 친절하시고 맛있는와플만들어주는곳입니다 번창하세요,
36624,커피마마 휘경점,사장 진짜 싸가지없음 사이즈업도 아니고 다른 시럽추가도 아니고 진하게해달라해서 파우더 한번 추가하는데 500원. 연하게먹으면 500원 할인되냐니까 맘에안들면 다른데 가래 ㅋㅋㅋㅋㅋㅋ 이게 자영업자 마인드임?,토피넛 라떼 아이스 완전 맛있어요 휘핑크림두 기가막히구... 가끔 아아 사먹다가 먹어봤는데 완전 추천!!,,,,
36631,바르다펫 장안점,넝뭉칭절항셍용,겅강강싱이엥옹,,,,
36643,이디야커피 외대점,보통이에요,매장이 너무좁아 잘 안가게됨..,좁다.  1층만덜렁.. 그래도 소소한맛이있음,헿,,
36650,빙고,요즘 가봤는데..2019년 12월에 주인이 바뀌어서 정~~말 깨끗하고  써비스도 잘~~~ 주시고..!!! 요즘은 자주 가요☆☆☆☆☆☆☆ ,"서비스 전혀없는 노래방 첨이예요, 주인아저씨 불친절,..",최악 주말에 비싸고 서비스 없고 그냥 최악이네요 ,"TJ 에서 지원하는 기능 중에서 휴대폰 번호로 저장한 애창곡 불러오기가 된다고 해서 갔었는데 동작하지 않더군요. ㅠㅠ 아마도 네트워크 연결이 빠져 있는 듯... 이것 빼고는 좋았습니다. 사장님, 서비스 음료도 주시던데...고맙게 잘 먹었습니다. 서비스도 주시고...",,
36677,큐데이블,스콘맛집,최고예요,조용하고 인테리어가 예쁨. 음료도 맛있네여!,,,
36723,튠업카페,브라우니랑 에이드가 오졌다리,,,,,
36750,멜팅폼,최고예요,"강아지 좋아하는 분들은 당연히 좋아하시겠고, 침대가 있어서 편해요. 그치만 음료나 디저트 맛과 가격은 별로 .... 가끔 기분 내러 힐링 방문 하세영",분위기 좋고 카페 안에 강아지도 키우고 있는데 냄새 안나요~ 편해요~,,,
36800,럼프슈가,요거트 과일컵이랑 BLT샌드위치 졸맛탱구에요!,,,,,
36803,레프트커피,"동방신기 팬미팅하는 날에 딱 가는 바람에, 김재중 사진 엄청 보고왔었던 곳. 생각보다 아담했지만 공부하기 나쁘지않은 곳.  디저트 바나나 초코 와플 맛있음.","음... 예전에는 라떼도 괜찮고 아이스티도 모카도 맛있었는데, 이번에 갔더니 모카가 너무 별로였어요ㅠ 자주 가는 편이 아니라서 모르겠는데 혹시 사장님이 바뀌신건지, 컵홀더도 바뀌고 무엇보다 맛이 바껴서.. 아쉽네여ㅜㅡㅜ 그래도 다음번에 라떼 한번 더 먹어보고 다시 후기 쓰겠습니다.",,,,
36812,스타벅스 경희대점,"15,000원 이상 머그컵 행사한다고 몇천원 더 주고 샀는데, 머그컵 안 챙겨주고... 전화도 참 정말 안 받네요...",최고예요,약간 친절과 깔끔 ,좋아요,어제,
36819,더벙커,여기 음료도 엄청 맛있고 보드게임두 다 새거임 ㅎㅎㅎㅎ 내가 가본 보드게임 카페 중에 젤 좋음 !!!!!!!!! 그 중에서 로스트 시티 남친이랑 하면 개꿀잼★♥★,새로생긴 보드게임카페 같은데 분위기도 괜찮고 커피도 맛있었어요,,,,
36829,미플보드게임,사장님들이 입가에 미소가 안 떠나시고 진짜 친절해요              그리고 게임도 많고 설명도 잘 해주셔서 담에 또 갑니다 :),많은 보드게임 + 넓은 테이블 + 저렴한 가격 + 처음온 손님의 도전도 받아주시는 우봉고 3D 달인 사장님 ,,,,
36857,녹원,조용하고 아늑해여~ 쾌적하고 말린 꽃향이 나서 기분이 좋아져요 킁킁 홍차 마셨는데 차도 맛있었어요~  화장실도 깨끗함 ㅎㅎ,너무 예쁘고.... 음료랑 디저트가 정성스럽게 나와요! 맛있고 가격도 적당합니다. 추천! ,경희대 의료원 바로 앞에있는 전통찻집이에요~~~옛날분위기라 너무 좋구요~ 차도 맛있어요~^^,사장님 친절하시고 좋아요~ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,
36869,스위트볼,너무 더운날 후딱 가서 딸빙 먹기! 이집 빙수 깔끔하니 맛있다 히히^^,,,,,
36877,디초콜릿커피앤드 경희대점,공부하기 좋고 밝아서 집중이 잘 됩니다 화장실 깨끗깨끗,깔끔 저렴. ,좋아요,ㅇㄱ ㄹㅇㅂㅂㅂㄱ,보통이에요,
36881,카페 제이식스 상봉 2호점,알바 인성 ○같음 가지마요  (수요일이였음 오픈 알바 ) ,불친절함 ,세상 차 맛 너무 밍밍해요... 야외테라스 찾아간건데... 관리도 그닥 안된거 같고,불친절..커피는 맛있는데 1호점 같은 친절함은 없어요. 의자도 푹 꺼진 곳이 많아요.ㅜ개선 좀 해주세요.,,
36884,투썸플레이스 서울시립대점,똥냄새 담배냄새 기울어진 테이블,2 3층에 위치한 매장에 사람이 붐비지 않아 분위기가 좋다. 혼자 가기에도 좋은곳,,,,
36922,노엘,슈크림 맛집,좋아요,슈가 참 맛있어요,슈 맛있음,"""노엘"" 왕슈전문",
36950,카페더스노우 경희대점,맛있어요~ 눈꽃빙수 / 치즈 대짜  블루베리는 서비스로 주셨어요.  간판이 미이플 59 / 카페더스노우 같이 붙어 있어서 헷갈렸어요 ~ ,초코빙수,,,,
36964,제이식스 1호점,좀 시끌시끌해,길가다 우연히 들어간 카페 분위기 나쁘지 않다ㅎㅎ 저녁되니 사람들 바글바글 몰리네 ㅋ,주차 가능한 곳 찾다가 방문.,,,
36990,스카이라이브카페,13년된  오랜전통의  문화공간,서울에선  최고  모처럼 좋은집을  찾았어요.^^,인근에선  최고 ,최고의  가수  분위기 짱 손님들 메너도짱,따뜻한 라이브와 사람들의 정이 있는곳 으로 라이브도좋고 술맛도 자연스레 좋았어요. ,
37025,카페안정,청량리스럽지 않게 고급스럽고 맛도 좋음,,,,,
37067,파스쿠찌 청량리역사점,피곤한 건 이해함 근데 직원들 일하는 수준 개판임 당연히 음료 노맛 ,보통이에요,"알바생 똥씹은 표정은 뭐,개인적 문제라 치고.교환권 내밀며 주문하니,뭘로 드려요???그 질문하기전에 그 상품이 없으니 뭘로 드려요?라고 물어야죠~교환권 상품달라는 사람에게 앞뒤짜르고 말하는건 아니죠.이름 물어볼려다 어차피 어딜가도 그럴사람들 같아서 그냥 여기에 남겨요.",최고예요,아포가토 달콤쌉쌀,
37071,진한커피,진쨔 사장님 친절하시고 커피 양도 많이주셔요 ㅠㅠㅠ 체고입니당,엄청 맛잇고 사장님도 친절해요!! 꼭가세요,,,,
37076,공간7,공간 대관하기 짱 좋아요-!!! 매번 희망에서 머 있을때마다 이용하는데><,,,,,
37079,미스터힐링 롯데시네마 청량리점,"청량리 롯데시네마 자체가 공기가 안 좋아서 여기도 딱히…  음료대신 물 주는 것도 아쉽고, 안마코스도 없고 그냥저냥.  미스터힐링은 꼭 잠들만 하면 끝나서 몸은 가벼운데 머리가 무겁다.  그래도 이 가격에 이 정도 시원함을 느낄 수 있는 기회는 잘 없다. 꽤나 좋은 휴식처다. ",굿,편함,,,
37094,스무디킹 청량리역사점,보통이에요,보통이에요,조금 아쉬워요,,,
37096,파파독스,강아지들 관리도 잘 돼있고 사람도 적당히 와서 좋아요. 다만 좀 더 넓었으면 좋겠고 놀이기구가 더 있으면 좋을거 같아요. (안전상 그렇게 관리되는 거일수도 있지만요.),최고예요,,,,
37116,아마스빈 경희대점,언제 가도 항상 친절한 직원분들 완전 기분 좋음 음료 맛있는 건 당빠.. 하동녹차오레오 최고 존엄쓰,사장님도 친절하고 맛있어요ㅠㅠㅠㅠ 자주 가는 매장중에 하나,근방에 있는 아마스빈 중에서 제일 맛있고 펄도 쫀득해요. 좀 멀지만 자주 가게 되네요,아마스빈인데 말해 뭐합니까  사장님과 직원분들도 짱짱맨~,,
37125,카페반창고,조용하고 친절하고 맛있다 포근한 공간,좋아요,"학교 앞 vegan carrot cake, chocolate cake 스콘까지 정성이 가득한 곳",가정식핸드드립커피와 맛있는 스콘이 있는 곳,아이스초코 엄청 맛있어요♡아늑하니 공부하기도 좋은듯,
37129,더코드 회기점,후기 보고 고민하다 친구들이랑 방문 해봤는데 사장님도 친절하게 안내 해주시고 테마 내용도 알차고 재밌네요. 1시간 재밌게 잘 즐기다 왔습니다~,ㅋㅋㅋ 여기 자물쇠도 안맞아서 시간 엄청버렸고 수갑도 무슨 열쇠로 잘열리지도않고 별로였어요 남자직원분 불친절하시고요,남자 사장이 불친절한건 깔고 들어가서 방탈출의 힌트(단서)조차 불친절하다 집근처라고 방탈출 있네 가볼까? 라는 마음으로 가지말자. 방탈출 처음으로 2만원이 아깝다 생각이 들었다.,남자 알바분이 너무 불친절해요. 여성 알바분은 친절해서 그나마 기분 상해서 나오진 않았네요. 방도 센서로 작동하는건 별로 없고 대부분 자물쇠라서 좀 아쉬웠네요. ,자물쇠관리가 안되는지 맞는번호해도 잘 안열려서 시간 버리게 됨. 덩치있는 남자 알바 불친절한건 덤.. 알바한테 맞는줄 알았음ㅋ,
37134,소리울,통기타와 하모니카 반주가 환상적이구요 고 퀄리티 라이브카페 입니다,,,,,
37188,해피니스디저트 경희대점,두리안빤지 완전 맛있어요!!  ,대만식 토란떡 위위안,,,,
37193,커피메소드,사장님이 왜 무섭다는지 이제 알았어요. 무섭다기보다는 굉장히 주문하는 사람도 기분 나쁘게 하는 불친절이네요. ,분위기랑 맛은 괜찮은데 사장님 무서워요 ... 조금 불친절  좀만 더 친절하시면 좋겠네요,맛은 있는데 사장님이 좀 무섭다...!,분위기도 조용하니 커피도 맛있는데 날파리가 많음 심심하면 날파리 잡기 해볼 것,학교 근처에서 내가 유일하게 편안하게 집중할 수 있는곳! 커피 맛과 가성비도 일품이에요 ㅎㅎ,
37201,5븐,이 근방 가격 젤 비싼듯 하지만 느낌상 젤 고퀄 쑥??그거 존맛,,,,,
37213,이디야커피 회기역중앙점,저녁 남자직원분 싸가지가 그냥 어마어마하시네용~ 다음부터는 절대 안갑니다^^,별로예요,직원이.태도가너무별루내요.ㄷㄷ이디아.마니가봤지만이렇게태도가. 별로인지...쩝..ㅋ.하기야요즘절은.남성들이.그렇죠ㅋㅋ여성분은아주친절하셨는데ㅋ,최고예요,직원이 개 싸가지가 없음,
37236,스터디빈,조용하고 서비스도 이것저것 많이 챙겨주셔서~ 갈때마다 기분이 좋은 것 같아요! ㅎㅎ,,,,,
37237,꽃갈피,분위기 최고 :) 비건 스콘과 소이라떼가 있어요,조용한 가을 담긴 카페:),사장님 친절하시고 커피 맛있고 분위기 훌륭해요! 읽을 책 많은건 덤이에요 :),,,
37241,파스쿠찌 경희의료원점,조금 아쉬워요,,,,,
37245,카페브레송,달콤한 퐁당쇼콜라와 크림브륄레,일요일은 안열어요.. 매일이라 써있길래 갔는데 헛걸음 했어요 참고하세욤~!,최고예요,퐁당쇼콜라 맛집,별로예요,
37257,메가커피 고대정문점,친절하고 맛납니다,,,,,
37259,더착한커피 경희대점,"저렴하고 맛있고 친절한 ""the착한커피""! 좋아요!!!",평화의전당에서 공연이 있는데 시간이 남았을 때 카피 한잔하기 좋은 장소. 아메리카노에 물이 많아 좀 싱거움..,,,,
37263,카페오크라,두유 옵션이 되어서 좋아요. ,,,,,
37265,소예다방,"이 근방에서 단연코 커피는 최고인 매장.... 아메리카노도 산미,고소 다크 세종류가.... 원두도 태우지않은 고급 원두.... 동네에 이런 카페가 있는건 큰 행운이라 생각","동네에 이런 카페가 있다는 건 행운이죠. 커피맛있고, 저렴하고, 케익도 몇종류있고. 무엇보다 조용합니다. 고대근처에선 가장 나은 카페인듯.",,,,
37292,964커피로스터리 회기점,Really enjoy to hang out in this place. Cozy and comfortable. Coffee - the best and delicious bakery is a big plus! ,,,,,
37303,카페낢진,엉덩이사과파이 인절미쑥마카롱 크루아상 맛있는 곳,좋아요,,,,
37310,카페베네 고려대중앙광장점,알바 불친절해요 카페에서 목소리 제일 커요... 카페 음악 조용한거 의미없음ㅠ,여자 알바 불친절함,보통이에요,,,
37322,다카페,음료 대체로 맛있고 커피가 제일 맛있어요....ㅠㅠ 원래 시립대 앞에서 마셨는데 이젠 여기서 맨날 마셔요!!,,,,,
37324,저스트비,최고예요,,,,,
37330,프렌치카페소딜리셔스,크고 햇볕도 좋고 카페라떼도 맛있다,생과일주슈,왜 브런치란 메뉴가있는건지..그냥계란이랑 싼맛나는 소세지가들어간파니니인데..스크럼블에그도 엉망..주말의 금쪽같은 시간과 돈만 낭비한거 같아 속상할정도입니다. 음료 드세여 브런치는 전문점가시구요.,,,
37356,씨위드커피,아이스초코(아이스 코코아)가 환상 그 어디에서도 맛보지 못한 진한맛 무조건 아이스초코만 시킴 진짜 엄청난 맛,최고! 핸드드립 커피 넘 맛있다! 여기가 제일 맛있다! 브라우니도 존맛 에이드도 존맛!!! 사장님 너무 귀엽고 친절해서 심쿵.. 회원카드 매번 만들지렁!! 이런 커피가 삼천원대라니 ㅜㅜㅜ 말도 안돼,회기에 올때마다 방문하는 커피집입니다. 정성스럽게 내려주신 맛있는 커피와 친절한 사장님으로 인해 커피를 배로 즐기게 되는 곳입니다!~ 기회가 되시는 분들께서는 꼭 방문해 보시길 추천드려요!~ ,커피에 해박한 지식을 가진 주인장이 로스팅도 직접하고 드립해주는 커피들도 맛납니다! 그리고 레몬에이드랑 특히 가을에만 파는 청귤티/에이드 정말 맛나서 강추입니다!!,,
37366,topplay195,최고예요,우선 전체적으로 가격이 저렵해요.  와플이 너무 맛있습니다. ,"친절하고 유머넘치는 사장님. 일반 프랜차이즈에서 3,500원에 판매하는 골든애플과 페레리가 1,500원이라는 믿지 못 하는 가격에 판매하는 완전 혜자가게! (아메리카노도 매장에서 먹고 가는데 1,500원... 나는 할 말을 잃었다..) 가장 아쉬운 것은 수요일에 휴무라는 것이다(주르르륵...)",,,
37367,CNN카페 고려대점,최고예요,별로예요,좋아요,가성비가 꽤 괜찮음,,
37390,로얄츠바메,"여기 사장님 취향과 센스가 예사롭지 않네요. 고급스러운 인테리어, 고풍스러운 앤틱가구들, 세련된 찻잔들 뿐만 아니라 마리아쥬 프레르 홍차 등을 맛볼 수 있어요~ 마진 고려 안하고 영업하시는듯... 꼭 한번 들러보세요!!",동네에서 보기 힘든 이쁘고 유니크한 카페~ 사장님 멋있어요~><,,,,
37446,그녀석와플가게,가성비 짱 가격이 착한데 게다가 와플이 맛있음 아이스크림와플이 2500원이라니ㅠ 드립커피도 맛있어요ㅠ 제로페이도 되구요 집에서 좀 멀어서 자주 못가지만 종암동에서 싸고 맛있는 와플먹고싶으면 가는곳이에요,최고예요,,,,
37459,시그널커피,조용하고 깔끔한 카페입니다. 음료 가격이 매우 착한데 커피맛도 좋아서 사장님 몰래 리뷰 남깁니다. 아이스 아메리카노 2500원이에요! time after time 나오는데 선곡도 좋네요.ㅎㅎ,,,,,
37480,쿠니네와플,사장님 친절하고 맛있어요 최고!,"개인적으론 와플 많이 얇아요. 그냥 학교 앞 문구점에서 파는 와플 느낌, ,, 손님한테 저기요라고... ㅋㅋ ",존맛 ㅠㅠㅠㅠ 딱 제가 찾던 그 맛이예요 동네에서 사과잼에 생크림 발라주던... 가격도 싸고 조아요죠아~~~,,,
37486,공부공방,최고예요,가격도 좋고 시설이랑 청결도도 넘 좋아요 주변에 밥먹을 곳도 많고 ,,,,
37493,코지코튼,치즈테린느가 진짜 맛있어요! 동네 카페라서 베이커리 기대 안했는데 충격머금 ,분위기도 맛도 좋아요 동네에 이런 코지한 곳이 생겨서 좋았어요 ㅎㅎㅎ,크림치즈폼라떼 굿,종암동의 리틀포레스트  가보면 안다. ,내 집 같은 편안한 분위기,
37495,카페BBC,깨끗하고 친절해서 좋았네요,,,,,
37497,키라쿠,좋아요,Scone & Coffee,심플심플,미쳤네요 영국에서 먹던거랑 똑같은맛ㅋㅋㅋㅋ 딸기잼스콘이 위에 클로티드크림 올라간거라길래 먹었는데 ㄹㅇ 존똑맛 쓸어갑니다... 서울에 스콘 맛있다는데 다가봤는데 여기가 젤나음,마시멜로 코코아 음료마싰고예쁜데 양이 넘 적어요...깜짝크 놀랐네....그리고 음악종류는 트렌디하고 딱 내 타입이라 좋은디 공부하기엔 음악이좀커요....특히 스피커하나로 트니까 한쪽에서만 느껴지니 아주아주 신경쓰이...,
37510,카페가성비 한국외대점,커피 맛도 괜찮고 가격도 합리적이에요. 다만 화장실 가려면 다른 건물을 가야 해서 그 점은 아쉽네요.,,,,,
37514,프롬하츠커피 용두점,가성비 분위기,깔끔하고 괜찮아요^^,주말 저녁 알바생  키크시고 머리 묶었었던..불친절 말투 싸가지없었어요^^;;; 돈은 벌고 싶고 일하기 피곤하고 손님상대하기 귀찮으시면 하지마세요^^,보통이에요,,
37516,써니사이드커피,흔하지않은 맛의 커피에요. 자주갑니다,최고예요,,,,
37520,엔드롱,커피도 맛있고 친절하고 가격도 베스트고 다만...페이코나....카카오페이가 되면 더 좋겠어요,맛도 있고 확장해서 더 좋아졌어요,플랫화이트맛집!!!,,,
37523,이디야커피 용두동점,남자직원분이 친절하시고 훈남이세요!,테이블이 많이 더럽고 주문캔슬에 직원 교육 필요해보임,"바닥, 테이블 매우더러움. 화장실에는 수압이약하니 대변 절대보지말라 써잇음(즉, 고칠의향 없어보임)",사장님 친절하시고 편안한 분위기라 좋아요,카페라떼,
37575,바르바커피,도심 속 아늑한 기와 카페,,,,,
37587,불티,꼼장어구이(양념) 맛,,,,,
37606,카페아임,"화상 회의 때문에 들렀는데 조용하고 좋네요. 다른 카페는 배경 음악이 시끄러워서 별로였거든요.  가게가 작아서 테이블이 한 5개 정도였던 것 같은데, 저는 사람 없는 게 더 좋더라고요.  제가 커피는 잘 안 마셔서 맛은 잘 모르겠고... 여튼 분위기는 만족스러웠습니다.",아메리카노 2천원인데 맛이 괜찮아요,,,,
37690,이디야커피 청량리점,알바생이 불친절해요^^,보통이에요,테이블 수도 적당하고 손님도 적당해서 편합니다,"시원한 아이스아메리카노 한잔에 플레인 치즈케잌 한조각  케잌을 입에 넣는 순간 사르르 녹는 식감은 좋았으나, 냉동상태에서 바로 꺼냈기 때문에 포크로 먹을때 좀 불편했다. 매장은 깔끔하고 조용했다. ",청량리 왔다가 멤버스도 가입하고 아이스카푸치노 한잔..,
37699,커피빈 고대참살이길점,"""대한민국에선 커피빈 커피가 가장 맛있습니다""를 증명해주는 콜드브루라떼",보통이에요,보통이에요,,,
37703,이디야커피 고대점,불친절.자리도없는데.영화보는커플들은머다냐. 세븐일레븐 옆으로 이사햇지만 역시나.죽돌이죽순이들로 자리업슴.,친절해요~~,보통이에요,보통이에요,,
37712,블란도커피,넓고 사람도 적당히 있어서 좋아요!!! 추천합니다!!!  다만 알바생분들 중에 덩치좀 있으신 여자분은 불친절해요,수제머랭쿠키도 맛있었고 요거트딸기스무디도 딱 평균이에요. 카페 들어오자마자 쿠키굽는냄새가 확 느껴져서 좋았던것같아요. 카페분위기는 막 시끄럽지도 않고 적당히 사람있는? 공부하기도 좋고 친구만나기도 좋아요. ,커피도 맛있고 디저트도 맛있어요. 선곡도 맘에 들어요.,,,
37716,헤르츠,나만 알고 싶지만 진짜 진짜 가장 좋아하는 공간 커피맛 최고 사장님의 친절함 최고 손님들도 점잖으신 분들만 오심,근처로 학교 오고나서 발견해낸 멋진 곳 중 하나를 꼽자면 여기가 아닐까요... 갈 수 있을때 마다 가서 음료 사 마시는데 컵홀더에 정성스레 써놓으시는 글귀 매번 감동받곤 해요 매번 너무 친절하셔서 얼마나 감사한지 몰라요 발산을 떠난다면 여기를 더 자주 못 올거라는 사실이 안타까울 것 같네요.,자상한  사장님의 서비스마음에드네요 오고나면 또오고싶어지네요   메리크리스마스,분위기도좋고 사장님도 정말 친절하세요!! 오레오프라페 강추에요!!!^^,제가 어느새 단골이 되었네요!주 2회는 가는것 같아요. 모두 오셔서 커피한잔에 여유를. . .홧팅! 번창하시길. . . ,
37724,카페헤이피,민트초코케이크 이 넘 걍 미쳤음 ;;;; 사장님 너무 친절하세요!,보통이에요,말해뭐해 존맛탱입니다 케이크맛집!!! 이런곳이 안암에 있다니...‧⁺◟( ᵒ̴̶̷̥́ ·̫ ᵒ̴̶̷̣̥̀ ),민초케이크 존맛이에요!!!다른 케이크(밀크티)도 진짜 맛있어용 카페도 넓고 좋아요,케익이 정말 맛있어요 아메리카노랑 꿀조합이예용,
37725,꾸미롱,마카롱도 맛있는데 피칸 스콘 진짜 존맛입니다!!,고려대 앞 마카롱 맛집,최고예요,,,
37727,옥다방,디저트가 진짜 맛있구요 사장님 너무 친절하세요 과일모찌 꼭드세요,음료와 디저트는 맛있지만 카페 한 쪽이 다 열려있는 구조라 밖에서 담배피는 냄새가 다 들어옴,,,,
37735,차얌 고대점,코코넛 젤리 추가했는데 왜 안넣어주셨어요... 왜그러셨어요 ..? ㅠㅠ,싸고 맛있어요 펄이 쫀득해요,최고예요,,,
37757,라떼킹 안암오거리점,시험기간엔 라떼킹 와사비라떼가 짱~,싸고 깨끗하고,와사비 라떼 굿,라떼 맛있네요~,좋아요,
37763,전광수커피하우스 고려대점,보통이에요,보통이에요,,,,
37768,하룻고양이,별로예요,나도 별로던데...,사장님 착하시고 가게도 이뻐요 ,아 저도 밑에 분이랑 비슷했어요 열 시까지 책 읽으려고 아홉 시쯤 여기 몇 시까지 해요 하니까 여기 그런 곳 아니라고 대답도 안 해 주고 내쫓으시더라고요 예 그렇게 장사하시고 많이 파세요...,"컴퓨터 작업 좀 하러 들렀는데, 콘센트 있는 자리 물어보니 남자주인 왈 : 여기는 오래 앉아있는 카페 아니에요 라고 하네요.. 이 카페 주변을 자주 지나가는데, 항상 사람이 없어서 의아 했는데..이제 이해가 가네요.. 주인장이 얼마나 손님들한테 눈치를 줬을지 ...ㅎㅎ 주인장님 부자되세요~",
37789,커피하우스C,마장역에 이런 카페가 있었다니! 분위기 맛 다 좋네~굿굿! 역 바로 근처라 찾기도 좋다^^,충분히 방문할 만 함,최고예요,좋아요,,
37830,카페시크릿,최고예요,,,,,
37849,커피스모키,가격대비 깔끔하고 최고에요!,,,,,
37852,커피빈 고대안암역점,카페알바를 해본 입장으로써 주문한지 20분이 넘어서 음료를 내온다는건 말도 안되는 상황인데도 제대로된 사과없이 서비스를 하고있네요.   바쁘면 모를까... 바쁜것도아니고 여러개를 시켰으면 모를까 그것도 아니고 여러가지로 정말 실망했고 불편했습니다,두 번이나 실수해서 20분이지나 커피를 받았는데 제대로 된 사과도 없이 말하는 중에 일하러 도망가버림  게다가 커피도 맛없게 제조...  정말 관리 제대로 안된 매장 커피빈 자주오는데 진짜 못쓸 매장 ,다른지점보다 원두가 많이 텁텁하고 탄맛이 강했어요,24시간 영업하는 곳 ㅋ 언제나 커피 고플때 찿을 수 있는곳이죠,보통이에요,
37886,DONO CAFE,별로 불친절하고 커피도 별로임,,,,,
37890,알엔비스커피,좋아요,평일직원분이 제입맛에 잘 맞게 만들어쥬셔서 ㄱㅅㄱㅅ :) 주말직원분은..별로..하기싫은데 억지로 하는표정?이랄까... ㅡ ㅡ,,,,
